numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,101,4970,4566,2515,2203,822,770,0,0,0,63,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,1
3,101,3241,3097,1417,1125,525,482,2,136,0,74,199711,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,2
3,101,2448,2323,1016,967,427,435,1,0,0,41,199711,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,3
3,101,2415,2289,989,988,452,439,0,0,0,41,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,4
3,101,2304,2195,928,897,431,417,1,0,0,40,199711,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,5
3,101,2520,2421,1058,918,446,424,0,0,0,37,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,6
3,101,2500,2398,1056,921,446,417,0,0,0,48,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,7
3,101,2203,2108,889,892,422,414,1,0,0,38,199711,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,8
3,101,2288,2156,929,906,457,422,0,0,0,36,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,9
3,101,2170,2046,820,786,389,389,4,0,0,35,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,10
3,101,2046,1923,777,770,366,378,0,0,0,38,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,11
3,101,2244,2107,871,828,429,410,1,0,0,40,199711,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,12
3,101,2004,1913,809,774,406,399,0,0,0,34,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,13
3,101,2058,1939,781,758,401,394,0,0,0,39,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,14
3,101,2084,1969,781,782,411,406,0,0,0,40,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,15
3,101,2319,2161,794,775,456,408,0,0,0,37,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,16
3,101,1907,1809,692,707,369,384,0,0,0,39,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,17
3,101,1983,1894,798,805,422,417,0,0,0,32,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,18
3,101,1930,1824,752,774,417,414,0,11,0,34,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,19
3,101,1943,1829,721,726,391,391,0,0,0,31,199668,0,0,3382521088,122,2382000,0,0,50,50,50,0,2100,2100,0,0,2100,50,20
